EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-785.372	200.0	0.00405456	0.151513	-0.0208422048662	-0.0176415590783	405600
-699.467	200.0	0.00318704	0.15152	-0.0188766852555	-0.0032064064313	408200
-601.612	200.0	0.00295551	0.152343	-0.0204991766622	-0.00534939069321	410800
-674.123	200.0	0.00182595	0.153772	-0.00437602603644	-0.0157334658212	413400
-723.877	200.0	0.000781528	0.154617	-0.00554513712107	-0.00244204261103	416000
-775.216	200.0	0.000762786	0.157092	-0.0111880202941	-0.00830693582305	418600
-690.685	200.0	0.000354047	0.159748	-0.0124347234722	-0.00452717728861	421200
-685.539	200.0	0.00142617	0.162434	-0.0129513357533	-0.00925688510466	423800
-581.221	200.0	0.00406509	0.168587	-0.00629575488238	-0.0112443036879	426400
-673.302	200.0	0.00278541	0.171451	0.000211052628109	-0.0090536755897	429000
-660.348	200.0	0.00238815	0.175443	-0.00633603755212	-0.0135762131952	431600
-563.217	200.0	0.00313968	0.17906	-0.00959341693071	-0.0110416765587	434200
-738.323	200.0	0.00353717	0.182646	-0.00167958862158	-0.00945548712543	436800
-677.507	200.0	0.00265469	0.188333	-0.0179951283942	-0.00794493648336	439400
-662.625	200.0	0.00458471	0.194096	-0.0139682408243	-0.0117913067796	442000
-567.434	200.0	0.00148934	0.195336	-0.00972581294621	0.000490031028458	444600
-545.8	200.0	0.0011701	0.196533	-0.00399749321176	-0.00412053935917	447200
-575.512	200.0	0.00255182	0.197721	-0.00487338926178	-0.00664009390556	449800
-459.091	200.0	0.00336523	0.199876	-0.00670373444116	0.00230221673197	452400
-578.821	200.0	0.00410011	0.203205	0.00710072629115	-0.00860256543752	455000
-585.181	200.0	0.00140342	0.204769	-0.00606500525242	-0.00592412167395	457600
-721.32	200.0	0.00121906	0.206389	-0.00312550619505	-0.0116190651558	460200
-658.009	200.0	0.000328922	0.207513	-0.0239162804206	-0.00258172969927	462800
-377.348	200.0	0.0024958	0.209343	-0.0237834434147	0.0134662358066	465400
-620.707	200.0	0.00267127	0.211752	0.0100021720804	-0.00179466269306	468000
-603.008	200.0	0.00206127	0.21361	-0.00258168210375	-0.000872863703293	470600
-570.557	200.0	0.00146288	0.216117	4.22968997227e-06	-0.00161165734961	473200
-481.285	200.0	0.000812446	0.218504	-0.000440497383893	0.0068541756316	475800
-538.848	200.0	0.0014006	0.219572	0.00540872885626	-0.00362968107659	478400
-600.248	200.0	0.00234309	0.222366	-0.00324754187366	-0.00435929419087	481000
-400.238	200.0	0.00106511	0.230393	-0.00215711608215	0.000888014244235	483600
-527.091	200.0	0.00188642	0.236424	0.00630743771656	-0.000105058149167	486200
-487.097	200.0	0.00309593	0.24267	-0.00218801821167	0.0024621921253	488800
